reference_id,tranche,tranche_label,title,date_taken,location,submitting_command,duration,verification,aaro_description,source_url
DOW-UAP-PR091,R02,"Release 02 - May 22, 2026","""21 AUG [CALLSIGN] Observes UAP in Persian Gulf""",2020-08-21,Persian Gulf,U.S. Central Command,4:48,verified,An area of contrast transits the frame; the sensor zooms and pans until the object becomes indistinguishable from video noise. Lacks a substantiated chain of custody.,https://www.dvidshub.net/video/1007716/
DOW-UAP-PR092,R02,"Release 02 - May 22, 2026","""08 AUG 2020 [CALLSIGN] UAP observation""",2020-08-08,Undisclosed,AARO,4:52,verified,An area of contrast enters the field of view and the sensor tracks and zooms repeatedly over roughly four minutes. Uploaded to a classified network in August 2020.,https://www.dvidshub.net/video/1007715/
DOW-UAP-PR093,R02,"Release 02 - May 22, 2026","""May 05 2020 Gulf of Arabia [CALLSIGN] Dual UAP""",2020-05-05,Gulf of Arabia,U.S. Central Command,0:30,verified,The sensor pans to track an area of contrast; several areas of contrast then enter and exit the field of view as contrast settings adjust. Companion clip to PR095 from the same event.,https://www.dvidshub.net/video/1007721/
DOW-UAP-PR094,R02,"Release 02 - May 22, 2026","""[CALLSIGN] (Mission) - HD 2020-02-13""",2020-02-13,Undisclosed (CENTCOM),U.S. Central Command,4:59,verified,"Electro-optical and infrared footage; an area of contrast moves through frame with multiple pan, zoom and modality adjustments.",https://www.dvidshub.net/video/1007722/
DOW-UAP-PR095,R02,"Release 02 - May 22, 2026","""May 05 2020 Gulf of Arabia [CALLSIGN] Dual UAP""",2020-05-05,Gulf of Arabia,U.S. Central Command,4:49,verified,Multiple distinct areas of contrast tracked and magnified; the objects move in and out of frame before departing at lower right around 1:47. Longer companion clip to PR093.,https://www.dvidshub.net/video/1007725/
DOW-UAP-PR096,R02,"Release 02 - May 22, 2026","""HH11 03 July 2018 UAPs""",2018-07-03,Undisclosed,AARO,1:19,verified,Multiple areas of contrast enter and exit frame with tracking and zoom; the distance between the rightmost and the centre-left areas appears to increase. Lacks a substantiated chain of custody.,https://www.dvidshub.net/video/1007726/
DOW-UAP-PR097,R02,"Release 02 - May 22, 2026","""Hi-Res: [CALLSIGN] Observes UAP on 25SEP19 at 2135Z""",2019-09-25,Undisclosed,AARO,4:59,verified,Areas of contrast tracked and magnified across multiple zoom and contrast settings over roughly five minutes.,https://www.dvidshub.net/video/1007728/
DOW-UAP-PR098,R02,"Release 02 - May 22, 2026","""UFOs in Formation over Persian Gulf?""",10.2019 (per title),Persian Gulf / CENTCOM,U.S. Central Command,17:36,verified,Extended infrared footage; areas of contrast tracked with progressive zoom and pan. Uploaded to a classified network in October 2019.,https://www.dvidshub.net/video/1007737/dow-uap-pr098-ufos-formation-over-persian-gulf
DOW-UAP-PR099,R02,"Release 02 - May 22, 2026","""Hi-Res: [CALLSIGN] Observes UAP on 25SEP19 at 1715Z""",2019-09-23,CENTCOM area of responsibility,U.S. Central Command,4:51,verified,Areas of contrast move through frame. Uploaded to a classified network in November 2019; lacks documented chain of custody.,https://www.dvidshub.net/video/1007738/
DOW-UAP-PR024,R04,"Release 04 - July 10, 2026","Unresolved UAP Report, Middle East, 2023",2023,Middle East (undisclosed),U.S. Central Command,0:18,verified,"Begins on a dark area of contrast; two bright areas transit left to right, the sensor zooms out to keep them in frame, then refocuses on the original dark area with a reticle overlay.",https://www.dvidshub.net/video/1014100/
DOW-UAP-PR030,R04,"Release 04 - July 10, 2026","Unresolved UAP Report, Middle East, 2023",2023,Middle East (undisclosed),U.S. Central Command,0:10,verified,"Two areas of contrast cross the field of view between six and seven seconds; one enters bottom-right and exits at the top, the other enters at the top and exits at the bottom.",https://www.dvidshub.net/video/1014102/
DOW-UAP-PR100,R04,"Release 04 - July 10, 2026","Unresolved UAP Report, Yellow Sea, 2023",2023,Yellow Sea,U.S. Indo-Pacific Command,4:45,verified,"Electro-optical and infrared footage; IR tracking of an area of contrast, a switch to electro-optical mode showing a dark object against a blue background, then further IR tracking with zoom and contrast changes. A footage discontinuity occurs around 3:28.",https://www.dvidshub.net/video/1014096/
DOW-UAP-PR101,R04,"Release 04 - July 10, 2026","Unresolved UAP Report, South China Sea, 2024",2024,South China Sea,U.S. Indo-Pacific Command,1:46,verified,Infrared footage tracking an elongated area of contrast; a further zoom reveals multiple contrast areas forming a line moving diagonally across the field of view.,https://www.dvidshub.net/video/1014097/
DOW-UAP-PR102,R04,"Release 04 - July 10, 2026","Unresolved UAP Report, East China Sea, 2024",2024,East China Sea,U.S. Indo-Pacific Command,0:36,verified,"The sensor tracks a centred area of contrast, which then exits the top of the field of view; the remainder shows repeated zoom adjustments with no observable content.",https://www.dvidshub.net/video/1014098/
DOW-UAP-PR103,R04,"Release 04 - July 10, 2026","Unresolved UAP Report, East China Sea, 2024",2024,East China Sea,U.S. Indo-Pacific Command,1:16,verified,"The sensor pans to track an area of contrast, keeping it generally centred, with an auto-tracking reticle surrounding it from 12 seconds to the end.",https://www.dvidshub.net/video/1014099/
DOW-UAP-PR104,R04,"Release 04 - July 10, 2026","Unresolved UAP Report, Yellow Sea, 2025",2025,Yellow Sea,U.S. Indo-Pacific Command,0:15,verified,"The sensor pans to track an area of contrast resembling a six-pointed star, keeping it generally centred.",https://www.dvidshub.net/video/1014101/
DOW-UAP-PR105,R04,"Release 04 - July 10, 2026","Unresolved UAP Report, East China Sea, 2025",2025,East China Sea,U.S. Indo-Pacific Command,4:59,verified,"Tracks an area of contrast with black rectangular overlays briefly present; the sensor intermittently loses definition, pans several times and zooms to follow the contrast across the frame.",https://www.dvidshub.net/video/1014103/
DOW-UAP-PR106,R04,"Release 04 - July 10, 2026","Unresolved UAP Report, Eastern United States, 2020",2020,Eastern United States,U.S. Northern Command,0:05,verified,"Supporting document DOW-UAP-D089 describes the object as quite small, moving in a constant direction, indistinguishable in shape, metallic in appearance with a reflective underside. AARO notes the media was digitally altered before being reported.",https://www.dvidshub.net/video/1014104/
DOW-UAP-PR107,R04,"Release 04 - July 10, 2026","Unresolved UAP Report, Eastern United States, 2020",2020,Eastern United States,U.S. Northern Command,0:23,verified,An area of contrast repeatedly leaves and re-enters the sensor field of view as the sensor pans and adjusts zoom to follow it.,https://www.dvidshub.net/video/1014105/
DOW-UAP-PR109,R04,"Release 04 - July 10, 2026","Unresolved UAP Report, Eastern United States, 2015",2015,Eastern United States,U.S. Navy UAPTF (transferred to AARO in 2022),0:21,verified,"An area of contrast crosses the field from right to left and exits the upper left corner, followed by a slower-speed replay. AARO notes no formal data handling practices for UAP records existed at the time.",https://www.dvidshub.net/video/1014108/
DOW-UAP-PR110,R04,"Release 04 - July 10, 2026","Unresolved UAP Report, Eastern United States, 2020",2020,Eastern United States,U.S. Northern Command,0:22,verified,"An area of contrast becomes visible and is tracked by an auto-tracking reticle, gradually increases in angular size, then exits the field of view.",https://www.dvidshub.net/video/1014112/
DOW-UAP-PR111,R04,"Release 04 - July 10, 2026","Unresolved UAP Report, Eastern United States, 2020",2020,Eastern United States,U.S. Northern Command,1:00,verified,Several small areas of contrast enter and exit the field of view. An auto-tracking reticle engages on one while others periodically appear; the display then cycles between black screens and normal function.,https://www.dvidshub.net/video/1014114/
DOW-UAP-PR112,R04,"Release 04 - July 10, 2026","Unresolved UAP Report, Eastern United States, 2019",2019,Eastern United States,U.S. Navy,0:20,verified,"Captured aboard a civilian aircraft. The accompanying debrief records the observer describing flight characteristics unlike anything seen in 28 years of Air Force and Navy service, and the object as small and travelling in a straight line at high speed.",https://www.dvidshub.net/video/1014128/
DOW-UAP-PR113,R04,"Release 04 - July 10, 2026","Unresolved UAP Report, Western United States, 1996",1996,Western United States,AARO (via U.S. Navy UAPTF),2:56,verified,"An area of contrast transits the field of view, entering near the upper right corner and exiting opposite. The remainder is frame-by-frame repetition at standard and slower speeds. AARO notes the media was digitally altered before submission.",https://www.dvidshub.net/video/1014119/
DOW-UAP-PR114,R04,"Release 04 - July 10, 2026","Unresolved UAP Report, Atlantic Ocean, 2016",2016,Atlantic Ocean,U.S. Northern Command,0:39,verified,"The sensor zooms and pans to keep an area of contrast centred, then switches modes with a white reticle on it. Tracking stops and the object exits frame right before another area of contrast enters.",https://www.dvidshub.net/video/1014121/
DOW-UAP-PR115,R04,"Release 04 - July 10, 2026","Unresolved UAP Report, Gulf of America, 2019",2019,Gulf of America,U.S. Air Force,0:08,verified,"An area of contrast near the centre of the field of view, partly obscured by heads-up display elements, which the sensor zooms and pans to track; the contrast visually flickers. AARO notes a source at ambient temperature can appear to blend or flicker as auto-gain adjusts.",https://www.dvidshub.net/video/1014123/
DOW-UAP-PR116,R04,"Release 04 - July 10, 2026","Unresolved UAP Report, Atlantic Ocean, 2020",2020,Atlantic Ocean,U.S. Northern Command,0:32,verified,"An object described as a darker, maroonish colour, approximately 12 to 15 feet in height, travelling with the wind without manoeuvring — resembling a large, somewhat deformed balloon.",https://www.dvidshub.net/video/1014124/
NASA-UAP-D026,R04,"Release 04 - July 10, 2026","Apollo 14 Debriefing, 1971",1971-02-18,"Manned Spacecraft Center, Houston, Texas",NASA (via AARO),1:36:31,verified,"First part of the Apollo 14 post-mission debriefing. Crew and debriefers discuss the light flash phenomena — a then-novel, now well-documented biological effect in which high-energy cosmic rays strike the retina and are perceived as streaks or flashes.",https://www.dvidshub.net/video/1014107/
NASA-UAP-D027,R04,"Release 04 - July 10, 2026","Apollo 14 Debriefing (continued), 1971",1971-02-18,"Manned Spacecraft Center, Houston, Texas",NASA (via AARO),32:05,verified,"Second part of the Apollo 14 post-mission crew debriefing, continuing the discussion of the light flash phenomena.",https://www.dvidshub.net/video/1014110/
NASA-UAP-D028,R04,"Release 04 - July 10, 2026","Apollo 17 Crew Medical Debriefing, 1972",1972-12-21,"Manned Spacecraft Center, Houston, Texas",NASA (via AARO),53:10,verified,First part of the Apollo 17 post-mission medical debriefing. Two of the three crew members reported experiencing the light flash phenomena during mission phases including lunar orbit and surface operations.,https://www.dvidshub.net/video/1014116/
NASA-UAP-D029,R04,"Release 04 - July 10, 2026","Apollo 17 Crew Medical Debriefing (continued), 1972",1972-12-21,"Manned Spacecraft Center, Houston, Texas",NASA (via AARO),50:46,verified,"Second part of the Apollo 17 post-mission medical debriefing, continuing the examination of the light flash phenomena.",https://www.dvidshub.net/video/1014117/
(unassigned ID),R05,"Release 05 - Aug 7, 2026",2025 Middle East Populated-Area Clip,2025,Middle East (populated area),U.S. Central Command,N/A,unverified,Infrared clip showing an object crossing the sensor's field of view rapidly over a populated area; remains labeled unresolved. [Editor's note: this entry's source could not be confirmed against the primary record; treat with caution pending review.],https://www.war.gov/UFO/
DOW-UAP-PR117,R05,"Release 05 - Aug 7, 2026","Unresolved UAP Report, Gulf of Oman, 2021",2021-09-08,Gulf of Oman,"U.S. Central Command (AC-130J Gunship, U.S. Special Operations Forces)",0:16,verified,"An area of contrast remains generally within the centre of the sensor field-of-view. Part of the Gulf of Oman 'cold orbs' series. Secondary recording of an infrared sensor display rather than native sensor data, which limits fidelity. The accompanying intelligence report (DOW-UAP-D101) describes the objects as 'cold orbs' roughly four feet in diameter.",https://www.dvidshub.net/video/1017793/
DOW-UAP-PR118,R05,"Release 05 - Aug 7, 2026","Unresolved UAP Report, Gulf of Oman, 2021 (1 of 6 clips, PR117-PR122 series)",09.2021 (DVIDS field),Gulf of Oman,"AC-130J Gunship (USSOF, CENTCOM)",0:30,verified,"Secondary cellphone capture of an AC-130J's infrared sensor display during a live-fire exercise. Accompanying report DOW-UAP-D101 describes 'cold orbs' ~4 ft in diameter; crew reported ~25 instances moving 250-1300 mph in formation, appearing to react when the aircraft fired its cannon.",https://www.dvidshub.net/video/1017795/dow-uap-pr118-unresolved-uap-report-gulf-oman-2021
DOW-UAP-PR119,R05,"Release 05 - Aug 7, 2026","Unresolved UAP Report, Gulf of Oman, 2021",2021-09-08,Gulf of Oman,"U.S. Central Command (AC-130J Gunship, U.S. Special Operations Forces)",0:02,verified,"Two-second clip, the shortest in the series. Part of the Gulf of Oman 'cold orbs' series. Secondary recording of an infrared sensor display rather than native sensor data, which limits fidelity. The accompanying intelligence report (DOW-UAP-D101) describes the objects as 'cold orbs' roughly four feet in diameter.",https://www.dvidshub.net/video/1017798/
DOW-UAP-PR120,R05,"Release 05 - Aug 7, 2026","Unresolved UAP Report, Gulf of Oman, 2021",2021-09-08,Gulf of Oman,"U.S. Central Command (AC-130J Gunship, U.S. Special Operations Forces)",0:13,verified,"Captured on a cellular device pointed at the sensor display; the area of contrast becomes less distinct when the sensor switches display modes. Part of the Gulf of Oman 'cold orbs' series. Secondary recording of an infrared sensor display rather than native sensor data, which limits fidelity. The accompanying intelligence report (DOW-UAP-D101) describes the objects as 'cold orbs' roughly four feet in diameter.",https://www.dvidshub.net/video/1017800/
DOW-UAP-PR121,R05,"Release 05 - Aug 7, 2026","Unresolved UAP Report, Gulf of Oman, 2021",2021-09-08,Gulf of Oman,"U.S. Central Command (AC-130J Gunship, U.S. Special Operations Forces)",0:34,verified,"Part of the Gulf of Oman 'cold orbs' series. Secondary recording of an infrared sensor display rather than native sensor data, which limits fidelity. The accompanying intelligence report (DOW-UAP-D101) describes the objects as 'cold orbs' roughly four feet in diameter.",https://www.dvidshub.net/video/1017802/
DOW-UAP-PR122,R05,"Release 05 - Aug 7, 2026","Unresolved UAP Report, Gulf of Oman, 2021",2021-09-08,Gulf of Oman,"U.S. Central Command (AC-130J Gunship, U.S. Special Operations Forces)",0:26,verified,"Areas of thermal contrast move within the field-of-view across three time segments, with sensor adjustments at the 8-second mark. Part of the Gulf of Oman 'cold orbs' series. Secondary recording of an infrared sensor display rather than native sensor data, which limits fidelity. The accompanying intelligence report (DOW-UAP-D101) describes the objects as 'cold orbs' roughly four feet in diameter.",https://www.dvidshub.net/video/1017803/
DOW-UAP-PR123,R05,"Release 05 - Aug 7, 2026","Unresolved UAP Report, Pacific Ocean, 2019",2019,Pacific Ocean,U.S. Navy (transferred to AARO in 2022),1:04,verified,"An area of contrast appears, disappears and reappears; the sensor pans and zooms to track it from 0:08 to 1:04. Not native primary sensor data — the secondary recording method limits fidelity and resolution.",https://www.dvidshub.net/video/1017805/
DOW-UAP-PR124,R05,"Release 05 - Aug 7, 2026","Unresolved UAP Report, Pacific Ocean, 2019",2019,Pacific Ocean,U.S. Navy (transferred to AARO in 2022),0:53,verified,"Secondary infrared footage; the area of contrast is centred, then zoomed on before losing distinctiveness. AARO notes artifacts inherent to filming a screen, and that the media was digitally altered before being reported.",https://www.dvidshub.net/video/1017806/
DOW-UAP-PR134,R05,"Release 05 - Aug 7, 2026","Unresolved UAP Report, Middle East, 2025",2025,Middle East (undisclosed location),U.S. Central Command,1:39,verified,"Electro-optical and infrared footage; the sensor pans to track an area of contrast from left to right across the background, keeping it generally centred.",https://www.dvidshub.net/video/1017792/
DOW-UAP-PR136,R05,"Release 05 - Aug 7, 2026","Unresolved UAP Report, Middle East, 2023",2023,Middle East,U.S. Central Command,0:33,verified,The sensor tracks an area of contrast and then zooms in. Platform occlusions obscure portions of the display.,https://www.dvidshub.net/video/1017796/
DOW-UAP-PR142,R05,"Release 05 - Aug 7, 2026","Unresolved UAP Report, Middle East, 2025",2025,Middle East,U.S. Central Command,0:11,verified,"An area of contrast enters the sensor field-of-view from the left edge, transits left to right, and exits the right edge of the frame.",https://www.dvidshub.net/video/1017797/
DOW-UAP-PR149,R05,"Release 05 - Aug 7, 2026","Unresolved UAP Report, Middle East, 2023",2023,Middle East,U.S. Central Command,0:51,verified,An area of contrast transits the frame from the bottom right to the lower left edge in the opening seconds; the sensor then tracks it centre-frame for the remainder.,https://www.dvidshub.net/video/1017799/
FBI-UAP-PR007,R05,"Release 05 - Aug 7, 2026","""Slow-moving Objects"", Western United States, 2026",2026,Western United States,"U.S. Government Special Agent (FBI submission, case FBI-UAP-D032)",0:10,verified,"Thermal imaging showing two slow-moving 'black-hot' areas of contrast in infrared, captured by a U.S. Government Special Agent. Documented as FBI-UAP-D032.",https://www.dvidshub.net/video/1017801/
DOW-UAP-PR133,R06,"Release 06 - Sep 18, 2026","Unresolved UAP Report, Middle East, 2025",2025,Middle East,U.S. Central Command,4:58,verified,Infrared sensor footage tracking an area of contrast through repeated magnification and panning changes. The accompanying mission report (DOW-UAP-D107) characterises the object as looking like “a white round orbit… moving as fast as 500 miles per hour.”,https://www.dvidshub.net/video/1023396/
DOW-UAP-PR135,R06,"Release 06 - Sep 18, 2026","Unresolved UAP Report, Middle East, 2025",2025,Middle East,U.S. Central Command,0:59,verified,"Infrared footage of six small spherical objects grouped together, described as showing agile directional changes at an estimated 480 mph. This is the clip most widely reported in coverage of the sixth release.",https://www.dvidshub.net/video/1023397/
DOW-UAP-PR140,R06,"Release 06 - Sep 18, 2026","Unresolved UAP Report, Middle East, 2022",2022,Middle East,U.S. Central Command,1:47,verified,"Electro-optical and infrared tracking of an object the accompanying report describes as travelling at various speeds between 80 and 180 mph, with multiple sensor mode switches during the track.",https://www.dvidshub.net/video/1023398/
DOW-UAP-PR141,R06,"Release 06 - Sep 18, 2026","Unresolved UAP Report, Middle East, 2022",2022,Middle East,U.S. Central Command,2:36,verified,Companion clip to PR140 from the same 2022 Middle East series; object again reported at speeds between 80 and 180 mph.,https://www.dvidshub.net/video/1023400/
DOW-UAP-PR143,R06,"Release 06 - Sep 18, 2026","Unresolved UAP Report, Yellow Sea, 2023",2023,Yellow Sea,U.S. Indo-Pacific Command,0:19,verified,Short infrared clip; the sensor tracks an area of contrast held near the centre of frame. AARO states the description carries no analytical judgement as to the object's nature.,https://www.dvidshub.net/video/1023403/
DOW-UAP-PR144,R06,"Release 06 - Sep 18, 2026","Unresolved UAP Report, Yellow Sea, 2023",2023,Yellow Sea,U.S. Indo-Pacific Command,0:27,verified,Infrared sensor footage from a U.S. military platform tracking an area of contrast.,https://www.dvidshub.net/video/1023404/
DOW-UAP-PR148,R06,"Release 06 - Sep 18, 2026","Unresolved UAP Report, East China Sea, 2023",2023,East China Sea,U.S. Indo-Pacific Command,0:59,verified,"First three seconds contain no discernible content; from roughly 4 to 46 seconds the sensor pans to track an area of contrast held generally centre-frame, then increases magnification while continuing to track.",https://www.dvidshub.net/video/1023405/
DOW-UAP-PR150,R06,"Release 06 - Sep 18, 2026","Unresolved UAP Report, Yellow Sea, 2023",2023,Yellow Sea,U.S. Indo-Pacific Command,0:57,verified,57 seconds of infrared footage from a sensor aboard a U.S. military platform.,https://www.dvidshub.net/video/1023406/
